ramadan_day_id,hadith_title,hadith
16,17,"عن أبي هريرة -رضي الله عنه- قال: ""كانَ رَسولُ اللهِ صلى الله عليه وسلم يَسِيرُ في طَرِيقِ مَكَّةَ، فَمَرَّ على جَبَلٍ يُقالُ له: جُمْدانُ، فَقالَ: سِيرُوا، هذا جُمْدانُ، سَبَقَ المُفَرِّدُونَ، قالوا: وَما المُفَرِّدُونَ يا رَسولَ اللهِ؟ قالَ: الذّاكِرُونَ اللهَ كَثِيرًا والذّاكِراتُ"". رواه مسلم."
17,18,"عن أبي هريرة -رضي الله عنه- قال: قال رسول الله -صلى الله عليه وسلم-: ""لا تَحاسَدُوا، ولا تَناجَشُوا، ولا تَباغَضُوا، ولا تَدابَرُوا، ولا يَبِعْ بَعْضُكُمْ على بَيْعِ بَعْضٍ، وكُونُوا عِبادَ اللهِ إخْوانًا. المُسْلِمُ أخُو المُسْلِمِ، لا يَظْلِمُهُ، ولا يَخْذُلُهُ، ولا يَحْقِرُهُ. التَّقْوى هاهُنا. ويُشِيرُ إلى صَدْرِهِ ثَلاثَ مَرّاتٍ. بحَسْبِ امْرِئٍ مِنَ الشَّرِّ أنْ يَحْقِرَ أخاهُ المُسْلِمَ. كُلُّ المُسْلِمِ على المُسْلِمِ حَرامٌ؛ دَمُهُ، ومالُهُ، وعِرْضُهُ.
رواه مسلم."
18,19,"عن عائشة أم المؤمنين -رضي الله عنها-، أنَّ النبيَّ صلى الله عليه وسلم كانَ لا يَدَعُ أرْبَعًا قَبْلَ الظُّهْرِ، ورَكْعَتَيْنِ قَبْلَ الغَداةِ.
رواه البخاري."
18,20,"عن أنس بن مالك -رضي الله عنه- أنَّ رسول الله -صلى الله عليه وسلم- قال: ""إنَّ اللَّهَ لَيَرْضى عَنِ العَبْدِ أَنْ يَأْكُلَ الأكْلَةَ فَيَحْمَدَهُ عَلَيْها، أَوْ يَشْرَبَ الشَّرْبَةَ فَيَحْمَدَهُ عَلَيْها"".
 رواه مسلم."
19,21,"عن أبي هريرة -رضي الله عنه- أنَّ رسول الله -صلى الله عليه وسلم- قال: ""مَن كانَ يُؤْمِنُ باللَّهِ واليَومِ الآخِرِ فَلْيَقُلْ خَيْرًا أوْ لِيَصْمُتْ، ومَن كانَ يُؤْمِنُ باللَّهِ واليَومِ الآخِرِ فلا يُؤْذِ جارَهُ، ومَن كانَ يُؤْمِنُ باللَّهِ واليَومِ الآخِرِ فَلْيُكْرِمْ ضَيْفَهُ.
رواه البخاري."
20,22,"عن أبي هريرة -رضي الله عنه- أنَّ رسول الله -صلى الله عليه وسلم- قال:  ""أَقْرَبُ ما يَكونُ العَبْدُ مِن رَبِّهِ، وهو ساجِدٌ، فأكْثِرُوا الدُّعاءَ"".
رواه مسلم."
21,23,"عن أبي الدرداء رضي الله عنه قال: قال النبي صلى الله عليه وسلم:""ما مِن عَبْدٍ مُسْلِمٍ يَدْعُو لأَخِيهِ بظَهْرِ الغَيْبِ، إلَّا قالَ المَلَكُ: وَلَكَ بمِثْلٍ."" رواه مسلم"
22,24,"عن أبي هريرة -رضي الله عنه-: أن رسول الله-صلى الله عليه وسلم- قال: ""ما نَقَصَتْ صَدَقةٌ مِن مالٍ، وما زادَ اللَّهُ عَبْدًا بعَفْوٍ إلَّا عِزًّا، وما تَواضَعَ أحَدٌ للَّهِ إلَّا رَفَعَهُ اللَّهُ."".
رواه مسلم."
23,25,"عن أبي هريرة -رضي الله عنه-: أن رسول الله -صلى الله عليه وسلم- قال: ""أَفْضَلُ الصِّيامِ، بَعْدَ رَمَضانَ، شَهْرُ اللهِ المُحَرَّمُ، وأَفْضَلُ الصَّلاةِ، بَعْدَ الفَرِيضَةِ، صَلاةُ اللَّيْلِ."" رواه مسلم."
24,26,عن أنس رضي الله عنه قال: سمعت رسول الله صلى الله عليه وسلم يقول: (قالَ اللَّهُ تعالى: يا ابنَ آدمَ إنَّكَ ما دعَوتَني ورجَوتَني غفَرتُ لَكَ على ما كانَ فيكَ ولا أُبالي، يا ابنَ آدمَ لو بلغَت ذنوبُكَ عَنانَ السَّماءِ ثمَّ استغفرتَني غفرتُ لَكَ ولا أبالي، يا ابنَ آدمَ إنَّكَ لو أتيتَني بقِرابِ الأرضِ خطايا ثمَّ لقيتَني لا تشرِكُ بي شيئًا لأتيتُكَ بقرابِها مغفرةً) رواه الترمذي، وقال: حديث حسن صحيح
25,27,"عن أبي هريرة رضي الله عنه، أن رسول الله صلى الله عليه وسلم قال:
""إنَّ العَبْدَ لَيَتَكَلَّمُ بالكَلِمَةِ مِن رِضْوانِ اللَّهِ، لا يُلْقِي لها بالًا، يَرْفَعُهُ اللَّهُ بها دَرَجاتٍ، وإنَّ العَبْدَ لَيَتَكَلَّمُ بالكَلِمَةِ مِن سَخَطِ اللَّهِ، لا يُلْقِي لها بالًا، يَهْوِي بها في جَهَنَّمَ.""
رواه البخاري"
26,28,"عن ابن عباسٍ رضي الله عنهما، عن رسول الله صلى الله عليه وسلم فيما يرويه عن ربه تبارك وتعالى قال: (إنَّ اللَّهَ كَتَبَ الحَسَناتِ والسَّيِّئاتِ ثُمَّ بَيَّنَ ذلكَ، فمَن هَمَّ بحَسَنَةٍ فَلَمْ يَعْمَلْها، كَتَبَها اللَّهُ له عِنْدَهُ حَسَنَةً كامِلَةً، فإنْ هو هَمَّ بها فَعَمِلَها، كَتَبَها اللَّهُ له عِنْدَهُ عَشْرَ حَسَناتٍ، إلى سَبْعِ مِائَةِ ضِعْفٍ، إلى أضْعافٍ كَثِيرَةٍ، ومَن هَمَّ بسَيِّئَةٍ فَلَمْ يَعْمَلْها، كَتَبَها اللَّهُ له عِنْدَهُ حَسَنَةً كامِلَةً، فإنْ هو هَمَّ بها فَعَمِلَها، كَتَبَها اللَّهُ له سَيِّئَةً واحِدَةً.).

رواه البخاري ومسلمٌ في صحيحيهما"
27,29,"عن أبي هريرة رضي الله عنه، أنَّ رَسولَ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ قالَ: المَلَائِكَةُ تُصَلِّي علَى أحَدِكُمْ ما دَامَ في مُصَلَّاهُ الذي صَلَّى فِيهِ، ما لَمْ يُحْدِثْ، تَقُولُ: اللَّهُمَّ اغْفِرْ له، اللَّهُمَّ ارْحَمْهُ.
رواه البخاري"
27,30,"عن عائشة أم المؤمنين -رضي الله عنها-، أنّ رسول الله صلى الله عليه وسلم قال: ""رَكْعَتَا الفَجْرِ خَيْرٌ مِنَ الدُّنْيَا وَما فِيهَا.""
رواه مسلم"
28,31,"عن أنس -رضي الله عنه-، عن النبي صلى الله عليه وسلم قال:
""يَسِّرُوا ولا تُعَسِّرُوا، وبَشِّرُوا، ولا تُنَفِّرُوا.""
رواه البخاري."
29,32,"عن أبي أيوب الأنصاري -رضي الله عنه- قال: قال النبي -صلى الله عليه وسلم-: ""مَن صامَ رَمَضانَ ثُمَّ أتْبَعَهُ سِتًّا مِن شَوَّالٍ، كانَ كَصِيامِ الدَّهْرِ."" رواه مسلم."
30,33,"عن أبي هريرة -رضي الله عنه- أن رسول الله صلى الله عليه وسلم قال:
""الصَّلَوَاتُ الخَمْسُ، وَالْجُمْعَةُ إلى الجُمْعَةِ، وَرَمَضَانُ إلى رَمَضَانَ، مُكَفِّرَاتٌ ما بيْنَهُنَّ إِذَا اجْتَنَبَ الكَبَائِرَ"".
صحيح مسلم"
