time_to_publish,ramadan_day_id,title,link,question,category	
16:00,12,الثاني عشر,null,"آية دلّت على حث سيدنا شعيب قومه على إخلاص العبادة لله وحده ونهاهم عن إنقاص المكيال والميزان.
فما هي هذه الآية ؟",تفسير
16:00,13,الثالث عشر,null,"من الآيات الكونية على كمال قدرة الله وبديع صنعته بأن جعل في الأرض أنواع الشجر والنخيل المختلفة، تُسقى جميعها بمياه واحدة، وتنبت بأرض واحدة، ومع ذلك فإنها تختلف في لونها وطعمها ونفعها ولذتها.

اذكر الآية الدالة على ذلك.",تفسير
16:00,14,الرابع عشر ,null,"بعد تعرض النبي محمد صلى الله عليه وسلم لأذى المشركين وتكذيبهم واستهزاءهم، أنزل الله آيات ذكر بها أعمالًا تشرح صدر نبيه بأن يكثر من ذكر الله وتسبيحه وتحميده.
 فما هي هذه الآيات؟",تفسير
16:00,15,الخامس عشر,null,"يأمر الله تعالى نبيه محمدا صلى الله عليه وسلم -ومن يتأسى به- بأنْ يصبر نفسه معَ المؤمنين العُبَّاد المُنيبين. وفي ذلك أمر بمصاحبة الأخيار ومجاهدة النفس في صحبتهم.
أين ورد ذلك في القرآن الكريم؟",تفسير
16:00,16,السادس عشر,null,آية جاء فيها أمر خاص لأحد الأنبياء صلوات الله عليهم، وهو أخذ الكتاب بقوة أي بجد واجتهاد، وذلك بالاجتهاد في حفظ ألفاظِه وفهم معانيه، والعمل بأوامره ونواهيه، فامتثل لأمر ربه وأقبل على كتابه حفظًا وفهمًا. فما هي؟,تفسير
16:00,17,السابع عشر,null,آية يخبر الله فيها أنه ما خلق السماوات والأرض عبثا ولا لعبا من غير فائدة، بل خلقها بالحق وللحق، ليستدل بها العباد على أنه الخالق العظيم، المدبر الحكيم، الرحمن الرحيم، الذي له الكمال كله، والحمد كله، والعزه كلها، الصادق في قيله، الصادقة رسله فيما تخبر عنه، وأنّ القادر على خلقهما قادر على إعادة الأجساد بعد موتها ليجازي المحسن بإحسانه، والمسيء بإساءته، فما هي؟,تفسير
16:00,18,الثامن عشر ,null,آية ذكر  فيها كل سبب موجب للإيمان، وذكر الموانع، وبين فسادها واحدا بعد واحد، فذكر من الموانع أن قلوبهم في غمرة، وأنهم لم يدبروا القول، وأنهم اقتدوا بآبائهم،وذكر من الأمور الموجبة لإيمانهم: تدبر القرآن وتلقي نعمة الله بالقبول، ومعرفه حال الرسول محمد صلى الله عليه وسلم وكمال صدقه وأمانته، وأنه لا يسألهم عليه أجرا وإنما سعيه لنفعهم ومصلحتهم، وإن الذين يدعوهم إليه صراط مستقيم، سهل على العاملين لاستقامته. اذكرها.,تفسير
16:00,19,التاسع عشر,null,"آية جاء فيها ذكر مآل المكذبين باليوم الآخر، المكذبون بالآخرة والمكذبون بمن جاء بإثباتها، وهم بذلك حائرون مترددون؛ يؤثرون سخط الله على رضاه. أولئك لهم أشد العذاب وأسوءه، خسروا أنفسهم وأهليهم يوم القيامة، وخسروا الإيمان الذي دعتهم إليه الرسل.
ما هي هذه الآية؟",تفسير
16:00,20,العشرون,null,آية يخبر الله تعالى فيها عن حالة المكذبين في موقف القيامة وأن الله يجمعهم، ويحشر من كل أمة من الأمم فوجا وطائفة، يجمع أولهم على آخرهم، و آخرهم على أولهم، ليعمهم السؤال والتوبيخ واللوم. اذكر هذه الآية.,تفسير
15:00,21,الواحد والعشرون,null,ما هي الآية التي بينت لنا الأسوة الحسنة التي علينا الاقتداء بها، وأنّ من يسلكها ويوفق لها؛ هو من كان يرجو الله واليوم الآخر؟,تفسير
15:00,22,الثاني والعشرون,null,آية بيّن فيها الله -عز وجل- أنه يبعث الموتى ليجازيهم على أعمالهم خيرًا كانت أو شرًّا، وكذلك على آثارهم التي كانوا هم السبب في إيجادها في حال حياتهم وبعد وفاتهم. ما هي هذه الآية؟,تفسير
15:00,23,الثالث والعشرون,null,آية دلت على أن الإيمان أرفع منازل العباد وأنه مشتمل على جميع شرائع الدين وأصوله وفروعه، لأن اللّه مدح به خواص خلقه. فما هي؟,تفسير
15:00,24,الرابع والعشرون,null,آية دلت على عقوبة الله على من جحدوا لآياته، وتعدوا على رسله، بأنهم صُرفوا عن التوحيد والإخلاص فما هي؟,تفسير
15:00,25,الخامس والعشرون,null,من الأدلة الدالة على كمال نعمته واقتداره، بما خلقه لعباده من الأرض التي مهدها وجعلها قرارا للعباد، يتمكنون فيها من كل ما يريدون. فما هي الآية؟,تفسير
15:00,26,السادس والعشرون,null,آيةٌ نصّت على أنّ الذينَ أقرّوا بربهم، وشهدوا له بالوحدانيّة، والتزموا طاعته وداموا على ذلك واستقاموا مدة حياتهم، فلا خوفٌ عليهم من كلّ شرّ أمامهم، ولا هُم يحزنون على ما خلَّفوا وراءهم؛ فما هيَ؟,تفسير
15:00,27,السابع والعشرون,null,أمرَ الله رسوله صلى الله عليه وسلم ألّا يعبأ بالمكذبين شيئًا، وأنْ يصبر لحكم ربه القدري والشرعي بلزومه، والاستقامة عليه، ووعده الله بالكفاية، وأمره أن يستعين على الصبر بالذكر والعبادة؛ فما هيَ الآية التي فُسّرت بذلك؟ ,تفسير
15:00,28,الثامن والعشرون ,null,لا يكون العبدُ مؤمنًا بالله واليوم الآخر حقيقةً، إلّا كان عاملًا على مقتضى الإيمان ولوازمه؛ من محبة من قام بالإيمان، وموالاته، وبغض من لم يقم به ومعاداته، ولو كان أقرب النّاس إليه، وأهل هذا الوصف هم الذين كتب الله في قلوبهم الإيمان، وهمُ الذين قواهم بروحٍ منه، وهم الذين لهم الحياة الطيبة في هذه الدار، ولهم جنات النعيم في دار القرار، التي فيها كل ما تشتهيه الأنفس، ولهم أكبر النعيم وأفضله، وهو أنّ الله يحلّ عليهم رضوانه فلا يسخط عليهم أبدًا، ويرضون عن ربهم بما يعطيهم من أنواع الكرامات، ورفيع الدرجات، بحيث لا يرون فوق ما أعطاهم مولاهم غاية؛ ما هيَ الآية التي أشارت لهذا المعنى؟ ,تفسير
15:00,29,التاسع والعشرون,null,آية جاءَ فيها أنّ ثمّة عبادًا لله؛ هم في حال يحبون فيها المال والطعام، لكنهم قدَّموا محبة الله على محبة نفوسهم، ويتحرُّون في إطعامهم أولى الناسِ وأحوجهم، فما هيَ؟ ,تفسير
15:00,30,الثلاثون,null,جاء أنّ من خاف أن يجازيه ربه بعدله فأثَّر هذا الخوف في قلبه، فنهى نفسه عن هواها الذي يقيدها عن طاعة الله، وصار هواه تبعًا لما جاء الرسول به، وجاهد الهوى والشهوة الصّادّين عنّ الخير، فإن الجنّة ستكون لهُ مأوى، اذكر كلا الآيتين اللتين تشيران لهذا المعنى؟ ,تفسير
15:00,1,الأول ,null,ما حكم الماء المستعمل في الطهارة، وما الدليل على ذلك؟,فقه
15:00,2,الثاني,null,ما كيفية المسح المشروعة على الخفين، وما الدليل عليها؟,فقه
15:00,3,الثالث ,null,اذكر أربعًا من الأمور المكروهة في الصلاة -دون شرحٍ-.,فقه
15:00,4,الرابع,null,ما تعريف سجود السهو؟ ومتى يُسن؟,فقه
15:00,5,الخامس ,null,ما حكم مسابقة المأموم للإمام؟,فقه
15:00,6,السادس,null,ما حكم زكاة الحُليّ؟ ,فقه
15:00,7,السابع,null,ما وقت وجوب زكاة الفطر؟ وما حكم تأخيرها؟,فقه
15:00,8,الثامن,null,ما حكم النية في الصوم، ومتى وقتها؟,فقه
15:00,9,التاسع,null,ما الحكم إذا أفطر المسلم يوما من رمضان بغير عذر؟,فقه
15:00,10,العاشر,null,عرّف الاعتكاف شرعًا، واذكرْ حكمه.,فقه
17:00,11,الحادي عشر,null,ما المقصود بالمواقيت المكانية للحج والعمرة؟ ,فقه
17:00,12,الثاني عشر,null,ما حكم العقيقة وما مقدار ما يذبح فيها؟,فقه
17:00,13,الثالث عشر,null,متى يتعين الجهاد فيصبح فرض عين على المسلم؟ ,فقه
17:00,14,الرابع عشر ,null,ما حكم الهدنة مع الكفار وترك القتال، مع ذكر الدليل؟ ,فقه
17:00,15,الخامس عشر,null,ما حكم البيع بالتقسيط، مع الدليل عليه؟,فقه
17:00,16,السادس عشر,null,ما حكم بيع أو شراء أسهم البنوك الربوية؟,فقه
17:00,17,السابع عشر,null,ما المقصود ب (الكفالة والضمان)؟,فقه
17:00,18,الثامن عشر ,null,ما حكم التعدي على الوديعة؟ ,فقه
17:00,19,التاسع عشر,null,"علام يدل قول السيدة عائشة -رضي الله عنها-: ""كان رسول الله -صلى الله عليه وسلم- يقبل الهدية، ويثيب عليها""؟",فقه
17:00,20,العشرون,null,اذكر دليل مشروعيّة الوصيّة بالكتاب الكريم؟,فقه
16:00,21,الواحد والعشرون,null,ما حكم المغالاة في الصداق؟ وما الدليل على ذلك؟,فقه
16:00,22,الثاني والعشرون,null,اذكر ثلاثاً من شروط إجابة دعوة وليمة العرس.,فقه
16:00,23,الثالث والعشرون,null,ما حكم خروج المرأة المعتدة لقضاء حوائجها؟,فقه
16:00,24,الرابع والعشرون,null,ماذا يُقصد بالجناية على النفس؟ وما حكمها مع ذكر الدليل؟,فقه
16:00,25,الخامس والعشرون,null,ما المقصود بالقذف شرعاً؟ وما حكمه؟,فقه
16:00,26,السادس والعشرون,null,ما حكم التعزيز، وما الحكمة من مشروعيته؟,فقه
16:00,27,السابع والعشرون,null,ما الأمور التي تحصل بها الردة ؟ اذكرها دون شرح.,فقه
16:00,28,الثامن والعشرون ,null,ما صور النذر التي لا يجوز الوفاء فيها ؟,فقه
16:00,29,التاسع والعشرون,null,ما حكم ذبائح أهل الكتاب مع الدليل؟,فقه
16:00,30,الثلاثون,null, ما الحالة التي تقبل فيها شهادة الأخرس؟,فقه
